Veículo;Combustivel;DATA .: ;;Valor/Litro;Quantidade;Valor;Anterior;Atual;Km Rodada;Média (Km/L)
VEÍCULO .: ;;;;;;;;;;
GMF1396;;;;;;;;;;
GMF1396;DIESEL;27/04/2021;(E);4.495;122.52;R$ 550.73;35040;35235;195;1.59
GMF1396;DIESEL;22/10/2021;(E);5.195;46.18;R$ 239.91;35235;35329;94;2.04
Qtde = 2;Subtotal .:;168.70;R$ 790.64;289;1.71;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF2414;;;;;;;;;;
GMF2414;DIESEL;12/04/2021;(E);4.495;177.99;R$ 800.07;107220;107897;677;3.80
GMF2414;DIESEL;14/12/2021;(E);5.279;234.31;R$ 1,236.92;107897;108568;671;2.86
Qtde = 2;Subtotal .:;412.30;R$ 2,036.99;1348;3.27;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF2794;;;;;;;;;;
GMF2794;DIESEL;23/02/2021;(E);4.498;84.32;R$ 379.29;250818;251333;515;6.11
GMF2794;DIESEL;23/03/2021;(E);4.348;56.19;R$ 244.34;250818;251763;945;16.82
GMF2794;DIESEL;29/04/2021;(E);4.448;63.35;R$ 281.80;251763;252377;614;9.69
GMF2794;DIESEL;03/06/2021;(E);4.732;70.25;R$ 332.48;252377;252913;536;7.63
GMF2794;DIESEL;01/07/2021;(E);4.748;60.00;R$ 284.88;252913;253471;558;9.30
GMF2794;DIESEL;02/08/2021;(E);4.848;75.00;R$ 363.60;253471;254066;595;7.93
GMF2794;DIESEL;12/11/2021;(E);5.548;95.77;R$ 531.37;254066;254641;575;6.00
GMF2794;DIESEL;17/12/2021;(E);5.598;90.00;R$ 503.86;254641;255465;824;9.16
GMF2794;DIESEL;10/01/2022;(E);5.698;50.00;R$ 284.90;255465;255927;462;9.24
GMF2794;DIESEL;26/01/2022;(E);5.898;50.10;R$ 295.49;255927;256302;375;7.49
GMF2794;DIESEL;16/02/2022;(E);5.898;55.49;R$ 327.31;256302;256706;404;7.28
GMF2794;DIESEL;25/02/2022;(E);5.799;27.80;R$ 161.22;256706;256934;228;8.20
Qtde = 12;Subtotal .:;778.27;R$ 3,990.53;6631;8.52;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF2862;;;;;;;;;;
GMF2862;DIESEL;09/02/2021;(E);4.194;165.38;R$ 693.75;138263;138698;435;2.63
GMF2862;DIESEL;12/03/2021;(E);4.595;137.65;R$ 632.50;138698;139086;388;2.82
GMF2862;DIESEL;08/04/2021;(E);4.495;133.13;R$ 598.42;139086;139502;416;3.12
GMF2862;DIESEL;08/07/2021;(E);4.895;134.51;R$ 658.43;139502;139902;400;2.97
GMF2862;DIESEL;03/08/2021;(E);4.895;128.96;R$ 631.36;139902;140301;399;3.09
GMF2862;DIESEL;01/09/2021;(E);4.895;130.45;R$ 638.55;140301;140716;415;3.18
GMF2862;DIESEL;01/10/2021;(E);5.195;136.64;R$ 709.84;140716;141156;440;3.22
GMF2862;DIESEL;22/10/2021;(E);5.195;72.72;R$ 377.78;141156;141368;212;2.92
GMF2862;DIESEL;12/11/2021;(E);5.595;113.67;R$ 635.98;140716;141725;1009;8.88
GMF2862;DIESEL;20/12/2021;(E);5.595;107.82;R$ 603.25;141725;142050;325;3.01
GMF2862;DIESEL;07/01/2022;(E);5.595;75.28;R$ 421.19;142050;142308;258;3.43
GMF2862;DIESEL;28/01/2022;(E);5.795;64.36;R$ 372.97;142308;142549;241;3.74
GMF2862;DIESEL;24/02/2022;(E);5.760;113.58;R$ 654.31;142549;142870;321;2.83
Qtde = 13;Subtotal .:;1,514.15;R$ 7,628.35;5259;3.47;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3118;;;;;;;;;;
GMF3118;DIESEL;13/09/2021;(E);5.17;261.17;R$ 1,350.25;57650;58853;1203;4.61
GMF3118;DIESEL;05/11/2021;(E);5.629;157.12;R$ 884.43;58853;59938;1085;6.91
Qtde = 2;Subtotal .:;418.29;R$ 2,234.68;2288;5.47;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3242;;;;;;;;;;
GMF3242;GASOLINA;08/06/2021;(E);5.994;45.48;R$ 272.65;66539;66961;422;9.28
Qtde = 1;Subtotal .:;45.48;R$ 272.65;422;9.28;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3245;;;;;;;;;;
30/03/2022 16:13;SISFROTA - GERENCIAMENTO DA FROTA  (LUCAS);Página 1;;;;;;;;
Relação de Abastecimento por Veículo;;;;;;;;;;
Filtro:  Do período 01/02/2021 até   28/02/2022;;;;;;;;;;
Odôm./Horím.;;;;;;;;;;
Veículo;;;;;;;;;;
Combustivel;DATA .: ;Qte.;Valor;Anterior       Atual;Km Rodada;Média (Km/L);;;;
GMF3245;GASOLINA;16/03/2021;(E);6.099;58.88;R$ 359.11;185401;185714;313;5.32
GMF3245;GASOLINA;13/04/2021;(E);5.999;53.14;R$ 318.79;185714;186008;294;5.53
GMF3245;GASOLINA;09/06/2021;(E);6.099;53.80;R$ 328.13;185401;186269;868;16.13
GMF3245;GASOLINA;20/07/2021;(E);6.055;49.58;R$ 300.21;186269;186513;244;4.92
GMF3245;GASOLINA;29/09/2021;(E);6.499;49.75;R$ 323.33;186269;186777;508;10.21
GMF3245;GASOLINA;05/11/2021;(E);7.085;47.63;R$ 337.46;186777;187011;234;4.91
GMF3245;GASOLINA;20/12/2021;(E);7.085;51.95;R$ 368.11;187011;187303;292;5.62
GMF3245;GASOLINA;21/02/2022;(E);7.299;56.58;R$ 412.98;187303;187806;503;8.89
Qtde = 8;Subtotal .:;421.31;R$ 2,748.12;3256;7.73;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3249;;;;;;;;;;
GMF3249;GASOLINA;28/12/2021;(E);7.199;38.54;R$ 277.46;81029;81075;46;1.19
GMF3249;GASOLINA;14/01/2022;(E);7.499;19.21;R$ 144.06;81075;81185;110;5.73
GMF3249;GASOLINA;02/02/2022;(E);7.199;24.16;R$ 173.94;81185;81345;160;6.62
GMF3249;GASOLINA;09/02/2022;(E);7.200;17.75;R$ 127.81;81345;81400;55;3.10
GMF3249;GASOLINA;25/02/2022;(E);7.099;41.79;R$ 296.68;81400;81568;168;4.02
Qtde = 5;Subtotal .:;141.45;R$ 1,019.95;539;3.81;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3253;;;;;;;;;;
GMF3253;DIESEL;25/06/2021;(E);4.794;36.76;R$ 176.25;336099;336241;142;3.86
GMF3253;DIESEL;02/12/2021;(E);5.634;25.59;R$ 144.18;336241;336409;168;6.57
Qtde = 2;Subtotal .:;62.35;R$ 320.43;310;4.97;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3254;;;;;;;;;;
GMF3254;GASOLINA;02/02/2021;(E);5.045;70.73;R$ 356.83;148564;148951;387;5.47
GMF3254;GASOLINA;24/02/2021;(E);5.495;65.25;R$ 358.55;148951;149353;402;6.16
GMF3254;GASOLINA;14/04/2021;(E);5.795;64.62;R$ 374.47;149353;149758;405;6.27
GMF3254;GASOLINA;04/10/2021;(E);6.395;61.02;R$ 390.22;149758;150079;321;5.26
GMF3254;GASOLINA;27/10/2021;(E);7.044;62.55;R$ 440.66;150079;150450;371;5.93
GMF3254;GASOLINA;19/11/2021;(E);7.084;55.22;R$ 391.23;150450;150797;347;6.28
GMF3254;GASOLINA;15/12/2021;(E);7.099;67.85;R$ 481.72;150797;151157;360;5.31
GMF3254;GASOLINA;11/01/2022;(E);7.085;54.67;R$ 387.34;151157;151489;332;6.07
GMF3254;GASOLINA;09/02/2022;(E);7.066;62.07;R$ 438.59;151489;151861;372;5.99
Qtde = 9;Subtotal .:;563.98;R$ 3,619.62;3297;5.85;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3256;;;;;;;;;;
GMF3256;DIESEL;03/03/2021;(E);4.745;84.70;R$ 401.90;107051;107322;271;3.20
GMF3256;DIESEL;13/05/2021;(E);0;0.00;R$ 0.00;107051;107849;798;0.00
GMF3256;DIESEL;13/05/2021;(E);4.795;109.89;R$ 526.92;107051;107849;798;7.26
GMF3256;DIESEL;07/07/2021;(E);4.895;74.99;R$ 367.08;107849;108151;302;4.03
GMF3256;DIESEL;03/09/2021;(E);4.895;101.83;R$ 498.46;107849;108654;805;7.91
GMF3256;DIESEL;27/09/2021;(E);4.895;56.29;R$ 275.54;108654;108915;261;4.64
GMF3256;DIESEL;22/11/2021;(E);5.595;121.17;R$ 677.95;108915;109535;620;5.12
GMF3256;DIESEL;17/01/2022;(E);5.795;120.04;R$ 695.63;109535;110170;635;5.29
Qtde = 8;Subtotal .:;668.91;R$ 3,443.48;4490;6.71;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3259;;;;;;;;;;
GMF3259;DIESEL;01/02/2021;(E);3.859;38.03;R$ 146.76;283736;284082;346;9.10
GMF3259;DIESEL;26/02/2021;(E);4.259;29.00;R$ 123.51;284082;284323;241;8.31
GMF3259;DIESEL;08/04/2021;(E);4.198;27.21;R$ 114.25;284323;284668;345;12.68
30/03/2022 16:13;SISFROTA - GERENCIAMENTO DA FROTA  (LUCAS);Página 2;;;;;;;;
Relação de Abastecimento por Veículo;;;;;;;;;;
Filtro:  Do período 01/02/2021 até   28/02/2022;;;;;;;;;;
Odôm./Horím.;;;;;;;;;;
Veículo;;;;;;;;;;
Combustivel;DATA .: ;Qte.;Valor;Anterior       Atual;Km Rodada;Média (Km/L);;;;
GMF3259;DIESEL;06/05/2021;(E);4.499;15.01;R$ 67.53;284323;284547;224;14.92
GMF3259;DIESEL;21/05/2021;(E);4.498;23.39;R$ 105.23;284547;284879;332;14.19
GMF3259;DIESEL;02/06/2021;(E);4.499;16.75;R$ 75.36;284879;285058;179;10.69
GMF3259;DIESEL;25/06/2021;(E);4.499;29.71;R$ 133.67;285058;285400;342;11.51
GMF3259;DIESEL;01/09/2021;(E);4.588;31.26;R$ 143.45;285400;285820;420;13.44
GMF3259;DIESEL;29/09/2021;(E);4.969;24.51;R$ 121.79;285820;285945;125;5.10
Qtde = 9;Subtotal .:;234.87;R$ 1,031.55;2554;10.87;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3262;;;;;;;;;;
GMF3262;GASOLINA;08/10/2021;(E);6.484;31.51;R$ 204.34;138624;138771;147;4.67
GMF3262;GASOLINA;15/10/2021;(E);6.770;32.40;R$ 219.35;138771;139001;230;7.10
GMF3262;GASOLINA;21/10/2021;(E);6.770;43.80;R$ 296.53;139001;139295;294;6.71
GMF3262;GASOLINA;27/10/2021;(E);7.190;39.02;R$ 280.56;139295;139626;331;8.48
GMF3262;GASOLINA;16/11/2021;(E);7.17;39.46;R$ 282.93;139626;139938;312;7.91
GMF3262;GASOLINA;26/11/2021;(E);7.169;40.00;R$ 286.79;139938;140234;296;7.40
Qtde = 6;Subtotal .:;226.19;R$ 1,570.50;1610;7.12;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3303;;;;;;;;;;
GMF3303;DIESEL;05/11/2021;(E);5.595;81.02;R$ 453.31;310043;310316;273;3.37
GMF3303;DIESEL;30/11/2021;(E);5.595;164.27;R$ 919.14;310316;310893;577;3.51
GMF3303;DIESEL;10/12/2021;(E);5.595;58.18;R$ 325.52;310893;311085;192;3.30
GMF3303;DIESEL;31/01/2022;(E);5.795;90.01;R$ 521.61;311085;311373;288;3.20
GMF3303;DIESEL;09/02/2022;(E);5.795;57.89;R$ 335.47;311373;311567;194;3.35
Qtde = 5;Subtotal .:;451.37;R$ 2,555.05;1524;3.38;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3554;;;;;;;;;;
GMF3554;DIESEL;05/08/2021;(E);4.898;46.20;R$ 226.33;300724;301053;329;7.12
GMF3554;DIESEL;23/09/2021;(E);4.895;45.73;R$ 223.85;301053;301415;362;7.92
GMF3554;DIESEL;03/01/2022;(E);5.499;53.76;R$ 295.63;301415;302291;876;16.29
Qtde = 3;Subtotal .:;145.69;R$ 745.81;1567;10.76;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4307;;;;;;;;;;
GMF4307;GASOLINA;16/09/2021;(E);6.394;66.67;R$ 426.35;378732;379193;461;6.91
GMF4307;GASOLINA;24/11/2021;(E);7.084;41.58;R$ 294.59;379193;379240;47;1.13
GMF4307;GASOLINA;09/02/2022;(E);7.265;43.62;R$ 316.90;379240;379570;330;7.57
Qtde = 3;Subtotal .:;151.87;R$ 1,037.84;838;5.52;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4336;;;;;;;;;;
GMF4336;DIESEL;02/02/2021;(E);4.145;67.92;R$ 281.53;63083;63493;410;6.04
GMF4336;DIESEL;23/06/2021;(E);5.045;72.80;R$ 367.28;63493;63855;362;4.97
GMF4336;DIESEL;18/11/2021;(E);5.595;75.63;R$ 423.15;63855;64280;425;5.62
Qtde = 3;Subtotal .:;216.35;R$ 1,071.96;1197;5.53;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4338;;;;;;;;;;
GMF4338;GASOLINA;26/08/2021;(E);6.295;40.73;R$ 256.40;253181;253549;368;9.04
GMF4338;GASOLINA;16/09/2021;(E);6.395;33.13;R$ 211.87;253549;253886;337;10.17
GMF4338;GASOLINA;17/09/2021;(E);6.394;13.94;R$ 89.14;253886;254060;174;12.48
GMF4338;GASOLINA;20/09/2021;(E);6.394;34.16;R$ 218.45;254060;254482;422;12.35
GMF4338;GASOLINA;22/11/2021;(E);7.089;45.02;R$ 319.15;254482;254946;464;10.31
GMF4338;GASOLINA;17/12/2021;(E);7.085;26.07;R$ 184.71;254946;255196;250;9.59
GMF4338;GASOLINA;30/12/2021;(E);7.085;22.31;R$ 158.07;255196;255440;244;10.94
30/03/2022 16:13;SISFROTA - GERENCIAMENTO DA FROTA  (LUCAS);Página 3;;;;;;;;
Relação de Abastecimento por Veículo;;;;;;;;;;
Filtro:  Do período 01/02/2021 até   28/02/2022;;;;;;;;;;
Odôm./Horím.;;;;;;;;;;
Veículo;;;;;;;;;;
Combustivel;DATA .: ;Qte.;Valor;Anterior       Atual;Km Rodada;Média (Km/L);;;;
GMF4338;GASOLINA;31/12/2021;(E);7.085;23.83;R$ 168.85;255440;255556;116;4.87
Qtde = 8;Subtotal .:;239.19;R$ 1,606.64;2375;9.93;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4372;;;;;;;;;;
GMF4372;GASOLINA;24/02/2021;(E);5.494;24.07;R$ 132.26;107172;107327;155;6.44
GMF4372;GASOLINA;02/03/2021;(E);5.794;18.76;R$ 108.71;107327;107483;156;8.32
GMF4372;GASOLINA;11/03/2021;(E);5.995;24.40;R$ 146.28;107483;107677;194;7.95
GMF4372;GASOLINA;18/03/2021;(E);6.069;24.22;R$ 146.99;107677;107868;191;7.89
GMF4372;GASOLINA;26/03/2021;(E);5.889;27.60;R$ 162.54;107868;108088;220;7.97
GMF4372;GASOLINA;01/04/2021;(E);5.795;17.14;R$ 99.33;108088;108218;130;7.58
GMF4372;GASOLINA;14/04/2021;(E);5.794;29.89;R$ 173.21;108218;108442;224;7.49
GMF4372;GASOLINA;20/04/2021;(E);5.995;22.49;R$ 134.83;108442;108630;188;8.36
GMF4372;GASOLINA;26/04/2021;(E);5.894;15.41;R$ 90.84;108630;108735;105;6.81
GMF4372;GASOLINA;05/05/2021;(E);5.995;20.13;R$ 120.68;108735;108885;150;7.45
GMF4372;GASOLINA;14/05/2021;(E);5.994;27.48;R$ 164.74;108885;109100;215;7.82
GMF4372;GASOLINA;20/05/2021;(E);5.995;44.61;R$ 267.44;109100;109442;342;7.67
GMF4372;GASOLINA;24/05/2021;(E);5.895;42.13;R$ 248.36;109442;109782;340;8.07
GMF4372;GASOLINA;28/05/2021;(E);5.894;34.58;R$ 203.83;109782;110050;268;7.75
GMF4372;GASOLINA;02/06/2021;(E);5.995;40.01;R$ 239.86;110050;110335;285;7.12
GMF4372;GASOLINA;04/06/2021;(E);5.995;20.91;R$ 125.36;110335;110500;165;7.89
GMF4372;GASOLINA;08/06/2021;(E);5.994;37.25;R$ 223.31;110500;110785;285;7.65
GMF4372;GASOLINA;11/06/2021;(E);5.995;22.22;R$ 133.21;110785;110947;162;7.29
GMF4372;GASOLINA;16/06/2021;(E);5.995;40.56;R$ 243.16;110947;111273;326;8.04
GMF4372;GASOLINA;18/06/2021;(E);5.994;17.81;R$ 106.77;111273;111421;148;8.31
GMF4372;GASOLINA;24/06/2021;(E);5.895;41.98;R$ 247.47;111421;111755;334;7.96
GMF4372;GASOLINA;29/06/2021;(E);5.895;42.52;R$ 250.66;111755;112119;364;8.56
GMF4372;GASOLINA;02/07/2021;(E);5.895;28.50;R$ 168.01;112119;112345;226;7.93
GMF4372;GASOLINA;06/07/2021;(E);6.095;41.97;R$ 255.81;112345;112674;329;7.84
GMF4372;GASOLINA;09/07/2021;(E);6.094;44.03;R$ 268.36;112674;113030;356;8.09
GMF4372;GASOLINA;12/07/2021;(E);6.095;41.89;R$ 255.32;113030;113386;356;8.50
GMF4372;GASOLINA;15/07/2021;(E);6.188;39.49;R$ 244.40;113386;113707;321;8.13
GMF4372;GASOLINA;20/07/2021;(E);6.055;39.22;R$ 237.48;113707;114033;326;8.31
GMF4372;GASOLINA;23/07/2021;(E);6.055;21.98;R$ 133.09;114033;114215;182;8.28
GMF4372;GASOLINA;28/07/2021;(E);6.055;36.64;R$ 221.86;114215;114518;303;8.27
GMF4372;GASOLINA;30/07/2021;(E);6.055;16.01;R$ 96.94;114518;114637;119;7.43
GMF4372;GASOLINA;19/08/2021;(E);6.295;30.16;R$ 189.86;114637;114878;241;7.99
GMF4372;GASOLINA;23/08/2021;(E);6.295;26.29;R$ 165.50;114878;115095;217;8.25
GMF4372;GASOLINA;27/08/2021;(E);6.295;22.70;R$ 142.90;115095;115262;167;7.36
GMF4372;GASOLINA;31/08/2021;(E);6.295;26.12;R$ 164.43;115262;115466;204;7.81
GMF4372;GASOLINA;03/09/2021;(E);6.385;29.37;R$ 187.53;115466;115694;228;7.76
GMF4372;GASOLINA;06/09/2021;(E);6.385;21.48;R$ 137.15;115694;115864;170;7.91
GMF4372;GASOLINA;08/09/2021;(E);6.385;15.03;R$ 95.97;115864;115993;129;8.58
GMF4372;GASOLINA;10/09/2021;(E);6.384;16.32;R$ 104.20;115993;116121;128;7.84
GMF4372;GASOLINA;14/09/2021;(E);6.385;28.02;R$ 178.91;116121;116355;234;8.35
GMF4372;GASOLINA;29/10/2021;(E);6.985;25.52;R$ 178.26;116355;116534;179;7.01
GMF4372;GASOLINA;01/11/2021;(E);6.985;26.60;R$ 185.80;116534;116751;217;8.16
30/03/2022 16:13;SISFROTA - GERENCIAMENTO DA FROTA  (LUCAS);Página 4;;;;;;;;
Relação de Abastecimento por Veículo;;;;;;;;;;
Filtro:  Do período 01/02/2021 até   28/02/2022;;;;;;;;;;
Odôm./Horím.;;;;;;;;;;
Veículo;;;;;;;;;;
Combustivel;DATA .: ;Qte.;Valor;Anterior       Atual;Km Rodada;Média (Km/L);;;;
GMF4372;GASOLINA;05/11/2021;(E);7.085;30.19;R$ 213.90;116751;116991;240;7.95
GMF4372;GASOLINA;11/11/2021;(E);7.085;38.96;R$ 276.03;116991;117318;327;8.39
GMF4372;GASOLINA;14/11/2021;(E);7.084;25.79;R$ 182.72;117318;117527;209;8.10
GMF4372;GASOLINA;19/11/2021;(E);7.085;37.05;R$ 262.50;117527;117818;291;7.85
GMF4372;GASOLINA;22/11/2021;(E);7.085;36.55;R$ 258.96;117818;118132;314;8.59
GMF4372;GASOLINA;25/11/2021;(E);7.085;25.88;R$ 183.36;118132;118344;212;8.19
GMF4372;GASOLINA;01/12/2021;(E);7.084;45.10;R$ 319.53;118344;118691;347;7.69
GMF4372;GASOLINA;03/12/2021;(E);7.084;33.79;R$ 239.40;118691;118960;269;7.96
GMF4372;GASOLINA;05/12/2021;(E);7.085;31.78;R$ 225.16;118960;119225;265;8.34
Qtde = 51;Subtotal .:;1,518.60;R$ 9,543.19;12053;7.94;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4562;;;;;;;;;;
GMF4562;GASOLINA;02/02/2021;(E);5.045;30.01;R$ 151.40;128362;128543;181;6.03
GMF4562;GASOLINA;11/03/2021;(E);5.994;31.26;R$ 187.40;128362;128714;352;11.26
GMF4562;GASOLINA;16/06/2021;(E);6.195;34.30;R$ 212.49;128543;128919;376;10.96
GMF4562;GASOLINA;03/08/2021;(E);6.055;34.38;R$ 208.17;128919;129125;206;5.99
GMF4562;GASOLINA;01/09/2021;(E);6.295;33.89;R$ 213.34;129125;129339;214;6.31
GMF4562;GASOLINA;19/10/2021;(E);6.684;33.20;R$ 221.94;129339;129528;189;5.69
GMF4562;GASOLINA;24/11/2021;(E);7.085;32.32;R$ 228.99;129339;129723;384;11.88
GMF4562;GASOLINA;22/12/2021;(E);7.084;34.88;R$ 247.12;129723;129946;223;6.39
GMF4562;GASOLINA;21/02/2022;(E);7.037;36.30;R$ 255.47;129946;130172;226;6.23
Qtde = 9;Subtotal .:;300.54;R$ 1,926.32;2351;7.82;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4564;;;;;;;;;;
GMF4564;GASOLINA;04/03/2021;(E);5.795;60.39;R$ 349.96;150038;150778;740;12.25
GMF4564;GASOLINA;14/04/2021;(E);6.070;35.95;R$ 218.24;150778;151128;350;9.74
Qtde = 2;Subtotal .:;96.34;R$ 568.20;1090;11.31;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4738;;;;;;;;;;
GMF4738;GASOLINA;26/02/2021;(E);5.549;26.10;R$ 144.84;136734;136815;81;3.10
Qtde = 1;Subtotal .:;26.10;R$ 144.84;81;3.10;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4884;;;;;;;;;;
GMF4884;ALCOOL;09/02/2021;(E);3.394;22.96;R$ 77.94;174771;174914;143;6.23
GMF4884;GASOLINA;20/09/2021;(E);6.394;31.07;R$ 198.69;174914;174984;70;2.25
Qtde = 2;Subtotal .:;54.03;R$ 276.63;213;3.94;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4885;;;;;;;;;;
GMF4885;GASOLINA;03/03/2021;(E);5.795;10.16;R$ 58.88;153954;153984;30;2.95
GMF4885;ALCOOL;04/05/2021;(E);4.194;8.84;R$ 37.08;153984;154012;28;3.17
GMF4885;GASOLINA;29/09/2021;(E);6.395;22.17;R$ 141.78;154012;154093;81;3.65
Qtde = 3;Subtotal .:;41.17;R$ 237.74;139;3.38;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF4893;;;;;;;;;;
GMF4893;DIESEL;05/02/2021;(E);4.098;34.17;R$ 140.06;286086;286342;256;7.49
GMF4893;DIESEL;18/02/2021;(E);3.899;23.39;R$ 91.21;286342;286516;174;7.44
GMF4893;DIESEL;08/03/2021;(E);4.018;30.16;R$ 121.20;286516;286775;259;8.59
GMF4893;DIESEL;09/04/2021;(E);4.103;37.84;R$ 155.26;286775;287125;350;9.25
GMF4893;DIESEL;07/05/2021;(E);4.699;51.37;R$ 241.42;287125;287510;385;7.49
GMF4893;DIESEL;28/05/2021;(E);4.899;40.01;R$ 196.02;287510;287838;328;8.20
GMF4893;DIESEL;01/07/2021;(E);4.748;32.43;R$ 153.98;287838;288127;289;8.91
30/03/2022 16:13;SISFROTA - GERENCIAMENTO DA FROTA  (LUCAS);Página 5;;;;;;;;
Relação de Abastecimento por Veículo;;;;;;;;;;
Filtro:  Do período 01/02/2021 até   28/02/2022;;;;;;;;;;
Odôm./Horím.;;;;;;;;;;
Veículo;;;;;;;;;;
Combustivel;DATA .: ;Qte.;Valor;Anterior       Atual;Km Rodada;Média (Km/L);;;;
GMF4893;DIESEL;30/07/2021;(E);4.899;39.15;R$ 191.81;288127;288430;303;7.74
GMF4893;DIESEL;01/09/2021;(E);4.675;34.01;R$ 159.01;288430;288680;250;7.35
GMF4893;DIESEL;17/09/2021;(E);4.899;28.02;R$ 137.28;288680;288935;255;9.10
GMF4893;DIESEL;04/11/2021;(E);5.549;25.50;R$ 141.50;288935;289122;187;7.33
GMF4893;DIESEL;19/11/2021;(E);5.699;25.65;R$ 146.18;289122;289337;215;8.38
Qtde = 12;Subtotal .:;401.70;R$ 1,874.93;3251;8.09;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF5090;;;;;;;;;;
GMF5090;GASOLINA;25/02/2021;(E);5.495;26.66;R$ 146.50;74896;75343;447;16.77
GMF5090;GASOLINA;26/04/2021;(E);5.895;36.76;R$ 216.71;75343;75655;312;8.49
GMF5090;GASOLINA;14/07/2021;(E);6.095;31.78;R$ 193.70;75655;75907;252;7.93
GMF5090;GASOLINA;19/08/2021;(E);6.295;32.24;R$ 202.95;75655;76167;512;15.88
GMF5090;GASOLINA;04/11/2021;(E);7.085;36.59;R$ 259.24;76167;76468;301;8.23
GMF5090;GASOLINA;16/11/2021;(E);7.085;11.38;R$ 80.63;76468;76543;75;6.59
GMF5090;GASOLINA;17/11/2021;(E);7.084;37.91;R$ 268.59;76543;76955;412;10.87
GMF5090;GASOLINA;23/12/2021;(E);7.084;41.23;R$ 292.11;76955;77303;348;8.44
GMF5090;GASOLINA;04/02/2022;(E);7.065;38.73;R$ 273.63;77303;77642;339;8.75
Qtde = 9;Subtotal .:;293.28;R$ 1,934.06;2998;10.22;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF5091;;;;;;;;;;
GMF5091;GASOLINA;08/02/2021;(E);4.994;41.15;R$ 205.54;124752;125022;270;6.56
Qtde = 1;Subtotal .:;41.15;R$ 205.54;270;6.56;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF5094;;;;;;;;;;
GMF5094;GASOLINA;20/04/2021;(E);5.994;25.01;R$ 149.93;172198;172395;197;7.88
GMF5094;GASOLINA;18/05/2021;(E);6.198;33.23;R$ 205.99;172198;172656;458;13.78
GMF5094;GASOLINA;26/05/2021;(E);6.098;32.17;R$ 196.20;172656;172869;213;6.62
GMF5094;GASOLINA;07/06/2021;(E);6.099;31.80;R$ 193.95;172869;173000;131;4.12
GMF5094;GASOLINA;14/06/2021;(E);6.098;29.32;R$ 178.82;173000;173050;50;1.71
GMF5094;GASOLINA;27/08/2021;(E);6.097;24.89;R$ 151.77;173050;173100;50;2.01
GMF5094;GASOLINA;29/08/2021;(E);6.319;17.70;R$ 111.86;173100;173220;120;6.78
GMF5094;GASOLINA;29/08/2021;(E);6.259;24.13;R$ 151.04;173220;173473;253;10.48
GMF5094;GASOLINA;29/08/2021;(E);6.353;16.12;R$ 102.41;173473;173647;174;10.79
GMF5094;GASOLINA;30/08/2021;(E);6.670;18.15;R$ 121.07;173647;173798;151;8.32
GMF5094;GASOLINA;31/08/2021;(E);6.350;11.16;R$ 70.87;173798;173880;82;7.35
GMF5094;GASOLINA;02/09/2021;(E);6.45;13.71;R$ 88.43;173880;174050;170;12.40
GMF5094;GASOLINA;04/09/2021;(E);6.450;15.97;R$ 103.01;174050;174181;131;8.20
GMF5094;GASOLINA;06/09/2021;(E);6.670;27.07;R$ 180.56;174181;174382;201;7.43
GMF5094;GASOLINA;11/09/2021;(E);6.45;19.11;R$ 123.26;174382;174615;233;12.19
GMF5094;GASOLINA;14/09/2021;(E);6.700;17.64;R$ 118.19;174615;174821;206;11.68
GMF5094;GASOLINA;14/09/2021;(E);6.910;23.02;R$ 159.09;174821;175057;236;10.25
GMF5094;GASOLINA;15/09/2021;(E);6.85;17.60;R$ 120.56;175057;175277;220;12.50
GMF5094;GASOLINA;21/09/2021;(E);6.850;30.92;R$ 211.82;175277;175597;320;10.35
GMF5094;GASOLINA;27/09/2021;(E);6.6;27.80;R$ 183.48;175597;175841;244;8.78
GMF5094;GASOLINA;29/09/2021;(E);6.996;23.20;R$ 162.31;175841;176150;309;13.32
